export-plot data (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Dancing Game - endogenous gendered learning - O'Connor.nlogo,,,,,,,,,,,,,,,,
12/29/2020 15:42:39:824 -0800,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,
swap?,initial-blue,memory_size,initial-green,type-players?,wipe?,learning?,memory_learning?,weighted_learning?,initial-yellow,mutation_rate,learning_styles?,leader-payoff,leader-follower-game?,gendered_learning?,mutation_learning_styles,gendered_pairing?
FALSE,25,10,25,TRUE,FALSE,TRUE,FALSE,FALSE,25,0,TRUE,1,FALSE,FALSE,0.01,FALSE
,,,,,,,,,,,,,,,,
"""frequency of gendered learning""",,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,
0,1120,0,100,TRUE,"""default""",FALSE,1,,,,,,,,,
,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,
"""default""",TRUE,0,1,0,1000,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"""default""",,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,
0,0,0,TRUE,,0,,,,,,,,,,,
1,32,0,TRUE,,0.32,,,,,,,,,,,
2,35,0,TRUE,,0.35,,,,,,,,,,,
3,35,0,TRUE,,0.35,,,,,,,,,,,
4,39,0,TRUE,,0.39,,,,,,,,,,,
5,34,0,TRUE,,0.34,,,,,,,,,,,
6,32,0,TRUE,,0.32,,,,,,,,,,,
7,35,0,TRUE,,0.35,,,,,,,,,,,
8,41,0,TRUE,,0.41,,,,,,,,,,,
9,41,0,TRUE,,0.41,,,,,,,,,,,
10,43,0,TRUE,,0.43,,,,,,,,,,,
11,41,0,TRUE,,0.41,,,,,,,,,,,
12,37,0,TRUE,,0.37,,,,,,,,,,,
13,44,0,TRUE,,0.44,,,,,,,,,,,
14,48,0,TRUE,,0.48,,,,,,,,,,,
15,46,0,TRUE,,0.46,,,,,,,,,,,
16,39,0,TRUE,,0.39,,,,,,,,,,,
17,39,0,TRUE,,0.39,,,,,,,,,,,
18,37,0,TRUE,,0.37,,,,,,,,,,,
19,34,0,TRUE,,0.34,,,,,,,,,,,
20,33,0,TRUE,,0.33,,,,,,,,,,,
