export-plot data (NetLogo 6.1.1),,,,,,,,,,,,,,,,
Dancing Game - endogenous gendered learning - O'Connor.nlogo,,,,,,,,,,,,,,,,
12/29/2020 15:32:45:490 -0800,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,,
swap?,initial-blue,memory_size,initial-green,type-players?,wipe?,learning?,memory_learning?,weighted_learning?,initial-yellow,mutation_rate,learning_styles?,leader-payoff,leader-follower-game?,gendered_learning?,mutation_learning_styles,gendered_pairing?
FALSE,25,10,25,TRUE,FALSE,TRUE,FALSE,FALSE,25,0,TRUE,1,FALSE,FALSE,0.5,FALSE
,,,,,,,,,,,,,,,,
"""frequency of gendered learning""",,,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,,
0,1120,0,100,TRUE,"""default""",FALSE,1,,,,,,,,,
,,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,,
"""default""",TRUE,0,1,0,1000,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"""default""",,,,,,,,,,,,,,,,
x,y,color,pen down?,,,,,,,,,,,,,
0,0,0,TRUE,,0,,,,,,,,,,,
1,41,0,TRUE,,0.41,,,,,,,,,,,
2,48,0,TRUE,,0.48,,,,,,,,,,,
3,53,0,TRUE,,0.53,,,,,,,,,,,
4,59,0,TRUE,,0.59,,,,,,,,,,,
5,60,0,TRUE,,0.6,,,,,,,,,,,
6,70,0,TRUE,,0.7,,,,,,,,,,,
7,77,0,TRUE,,0.77,,,,,,,,,,,
8,69,0,TRUE,,0.69,,,,,,,,,,,
9,67,0,TRUE,,0.67,,,,,,,,,,,
10,66,0,TRUE,,0.66,,,,,,,,,,,
11,68,0,TRUE,,0.68,,,,,,,,,,,
12,71,0,TRUE,,0.71,,,,,,,,,,,
13,66,0,TRUE,,0.66,,,,,,,,,,,
14,68,0,TRUE,,0.68,,,,,,,,,,,
15,71,0,TRUE,,0.71,,,,,,,,,,,
16,75,0,TRUE,,0.75,,,,,,,,,,,
17,77,0,TRUE,,0.77,,,,,,,,,,,
18,80,0,TRUE,,0.8,,,,,,,,,,,
19,76,0,TRUE,,0.76,,,,,,,,,,,
20,80,0,TRUE,,0.8,,,,,,,,,,,
21,82,0,TRUE,,0.82,,,,,,,,,,,
22,85,0,TRUE,,0.85,,,,,,,,,,,
23,87,0,TRUE,,0.87,,,,,,,,,,,
24,88,0,TRUE,,0.88,,,,,,,,,,,
25,88,0,TRUE,,0.88,,,,,,,,,,,
26,89,0,TRUE,,0.89,,,,,,,,,,,
27,91,0,TRUE,,0.91,,,,,,,,,,,
28,90,0,TRUE,,0.9,,,,,,,,,,,
29,89,0,TRUE,,0.89,,,,,,,,,,,
30,89,0,TRUE,,0.89,,,,,,,,,,,
31,89,0,TRUE,,0.89,,,,,,,,,,,
32,89,0,TRUE,,0.89,,,,,,,,,,,
33,87,0,TRUE,,0.87,,,,,,,,,,,
34,89,0,TRUE,,0.89,,,,,,,,,,,
35,88,0,TRUE,,0.88,,,,,,,,,,,
36,88,0,TRUE,,0.88,,,,,,,,,,,
37,92,0,TRUE,,0.92,,,,,,,,,,,
38,93,0,TRUE,,0.93,,,,,,,,,,,
39,97,0,TRUE,,0.97,,,,,,,,,,,
40,97,0,TRUE,,0.97,,,,,,,,,,,
41,97,0,TRUE,,0.97,,,,,,,,,,,
42,96,0,TRUE,,0.96,,,,,,,,,,,
43,95,0,TRUE,,0.95,,,,,,,,,,,
44,94,0,TRUE,,0.94,,,,,,,,,,,
45,95,0,TRUE,,0.95,,,,,,,,,,,
46,93,0,TRUE,,0.93,,,,,,,,,,,
47,92,0,TRUE,,0.92,,,,,,,,,,,
48,92,0,TRUE,,0.92,,,,,,,,,,,
49,95,0,TRUE,,0.95,,,,,,,,,,,
50,93,0,TRUE,,0.93,,,,,,,,,,,
51,93,0,TRUE,,0.93,,,,,,,,,,,
52,90,0,TRUE,,0.9,,,,,,,,,,,
53,88,0,TRUE,,0.88,,,,,,,,,,,
54,86,0,TRUE,,0.86,,,,,,,,,,,
