"BehaviorSpace results (NetLogo 6.1.1)"
"Dancing Game - Original.nlogo"
"experiment"
"05/06/2021 21:09:26:704 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","swap?","initial-burgandy","memory_size","type-players?","wipe?","learning?","memory_learning?","weighted_learning?","initial-light-blue","mutation_rate","leader-payoff","leader-follower-game?","gendered_learning?","gendered_pairing?","initial-orange","[step]","global-average-payoff","count turtles with [strategy = 0 and sex = 0]","count turtles with [strategy = 1 and sex = 0]","count turtles with [strategy = 2 and sex = 0]","count turtles with [strategy = 3 and sex = 0]","count turtles with [strategy = 0 and sex = 1]","count turtles with [strategy = 1 and sex = 1]","count turtles with [strategy = 2 and sex = 1]","count turtles with [strategy = 3 and sex = 1]"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","0","0","12","14","13","11","13","11","12","14"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","1","0.55994400559944","13","14","15","8","14","12","11","13"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","2","0.49995000499950004","15","13","12","10","15","13","8","14"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","3","0.42995700429957","10","16","10","14","14","13","7","16"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","4","0.52994700529947","8","16","14","12","12","10","7","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","5","0.40995900409959","11","14","13","12","13","13","7","17"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","6","0.48995100489951005","11","12","15","12","11","13","8","18"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","7","0.41995800419958","14","10","13","13","10","13","11","16"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","8","0.41995800419958","14","12","13","11","11","16","10","13"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","9","0.44995500449955","14","8","12","16","13","13","13","11"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","10","0.41995800419958","13","9","13","15","12","11","14","13"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","11","0.48995100489951005","14","10","10","16","9","12","16","13"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","12","0.66993300669933","14","11","9","16","10","14","13","13"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","13","0.48995100489951005","14","10","7","19","10","15","7","18"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","14","0.57994200579942","14","8","7","21","12","15","7","16"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","15","0.44995500449955","16","8","7","19","9","15","5","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","16","0.54994500549945","17","8","5","20","7","18","5","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","17","0.57994200579942","17","6","5","22","8","17","5","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","18","0.51994800519948","17","5","4","24","5","16","5","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","19","0.50994900509949","14","3","4","29","5","15","5","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","20","0.6999300069993001","15","6","5","24","4","14","5","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","21","0.54994500549945","17","7","1","25","3","10","4","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","22","0.63993600639936","18","7","1","24","4","16","2","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","23","0.62993700629937","19","6","1","24","5","17","1","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","24","0.53994600539946","20","6","1","23","9","14","2","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","25","0.60993900609939","19","9","1","21","11","13","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","26","0.54994500549945","20","8","1","21","9","14","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","27","0.63993600639936","17","7","1","25","10","14","1","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","28","0.55994400559944","19","6","1","24","8","14","1","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","29","0.62993700629937","23","5","1","21","4","16","1","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","30","0.54994500549945","21","6","1","22","4","20","1","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","31","0.57994200579942","21","7","0","22","5","19","1","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","32","0.66993300669933","22","10","0","18","7","18","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","33","0.7199280071992801","22","8","0","20","9","17","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","34","0.65993400659934","21","4","0","25","6","18","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","35","0.6899310068993101","20","3","0","27","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","36","0.65993400659934","20","1","0","29","5","15","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","37","0.56994300569943","23","0","0","27","5","17","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","38","0.62993700629937","21","1","0","28","2","16","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","39","0.66993300669933","20","1","0","29","5","14","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","40","0.7399260073992601","17","3","0","30","3","14","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","41","0.66993300669933","18","5","0","27","4","13","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","42","0.7399260073992601","19","4","0","27","3","15","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","43","0.64993500649935","21","5","0","24","3","14","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","44","0.7199280071992801","23","3","0","24","4","14","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","45","0.7399260073992601","26","2","0","22","3","14","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","46","0.77992200779922","26","4","0","20","2","15","0","33"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","47","0.61993800619938","26","3","0","21","4","15","0","31"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","48","0.63993600639936","27","3","0","20","4","16","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","49","0.6799320067993201","25","2","0","23","5","15","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","50","0.58994100589941","23","3","0","24","5","18","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","51","0.7099290070992901","21","5","0","24","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","52","0.57994200579942","18","7","0","25","7","19","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","53","0.62993700629937","21","5","0","24","7","19","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","54","0.60993900609939","22","4","0","24","7","16","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","55","0.61993800619938","23","5","0","22","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","56","0.6899310068993101","24","5","0","21","13","16","0","21"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","57","0.65993400659934","21","3","0","26","9","17","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","58","0.7399260073992601","20","1","0","29","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","59","0.65993400659934","18","3","0","29","9","18","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","60","0.60993900609939","22","5","0","23","12","18","0","20"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","61","0.60993900609939","20","8","0","22","9","16","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","62","0.64993500649935","20","6","0","24","8","17","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","63","0.61993800619938","18","7","0","25","7","19","0","24"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","64","0.57994200579942","18","6","0","26","7","20","0","23"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","65","0.63993600639936","17","7","0","26","7","17","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","66","0.56994300569943","15","4","0","31","7","18","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","67","0.64993500649935","14","7","0","29","6","18","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","68","0.51994800519948","14","5","0","31","6","19","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","69","0.56994300569943","18","7","0","25","7","18","0","25"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","70","0.50994900509949","18","7","0","25","6","18","0","26"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","71","0.63993600639936","20","6","0","24","4","18","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","72","0.6799320067993201","19","7","0","24","6","17","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","73","0.64993500649935","16","4","0","30","5","18","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","74","0.57994200579942","15","5","0","30","5","16","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","75","0.66993300669933","15","4","0","31","4","19","0","27"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","76","0.51994800519948","13","6","0","31","4","17","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","77","0.56994300569943","16","8","0","26","3","17","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","78","0.6899310068993101","19","5","0","26","2","18","0","30"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","79","0.64993500649935","16","5","0","29","1","20","0","29"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","80","0.65993400659934","18","4","0","28","3","19","0","28"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","81","0.7499250074992501","18","6","0","26","1","17","0","32"
"1","false","25","10","true","false","true","false","false","25","0","2","false","false","false","25","82","0.65993400659934","17","8","0","25","3","15","0","32"
